Data,Classification,Confidence_Score,Detailed_Justification
D6043,No Action,0.81,"Legitimate business communication with routing variations: No explicit request type (none), minimal threat indicators across all categories, moderate sender domain reputation (0.057) within legitimate range, link_rewritten_through_redirector (1) for security processing, token_validation_success (1) confirming legitimate routing, very high urgency_keywords_present (0.900) likely business urgency, good authentication baseline"
D6044,Malicious,0.87,"Legal threat from compromised high-value infrastructure: legal_threat request type using intimidation tactics, high sender_domain_reputation (0.585) suggesting compromised legitimate infrastructure, high max_amsi_suspicion_score (0.322) and exfiltration_behavior_score (0.734) showing script-based threats and data theft, outlook.exe execution, urgency_keywords_present (0.192), high content_spam_score (0.159) - sophisticated legal threat fraud"
D6045,Warning,0.82,"Link click with high threat potential: link_click request type directing to malicious sites, very high sender_temp_email_likelihood (0.847) indicating disposable email usage, high max_metadata_suspicious_score (0.493) indicating file manipulation, acrobat.exe execution, token_validation_success (1) but high site_visual_similarity_to_known_brand (0.461) and moderate content_spam_score (0.056) - requires investigation"
D6046,Spam,0.80,"Bank detail spam campaign: bank_detail_update request type commonly used in financial spam, high content_spam_score (0.454) indicating bulk nature, is_high_risk_role_targeted (1) for targeting, domain_tech_stack_match_score (1.0), urgency_keywords_present (0.074), moderate sender domain reputation (0.117) suggesting compromised legitimate sender - bulk financial fraud spam"
D6047,Warning,0.78,"VPN/MFA reset with domain spoofing: vpn_or_mfa_reset request type targeting security credentials, moderate max_metadata_suspicious_score (0.086) and very high exfiltration_behavior_score (0.726), winword.exe and powershell.exe execution, dns_morphing_detected (1) indicating domain spoofing, domain_tech_stack_match_score (1.0), high site_visual_similarity_to_known_brand (0.333) - credential harvesting attempt"
D6048,Malicious,0.90,"Wire transfer fraud with extensive spoofing: wire_transfer request type indicating financial fraud, moderate max_behavioral_sandbox_score (0.031) and very high exfiltration_behavior_score (0.865), winword.exe execution, very high return_path_reputation_score (0.472) and reply_path_reputation_score (0.194), domain_tech_stack_match_score (0.5), very high urgency_keywords_present (0.920), expired SSL certificate, very high site_visual_similarity_to_known_brand (0.957)"
D6049,Warning,0.81,"Document download with high metadata manipulation: document_download request type, high max_metadata_suspicious_score (0.500) indicating extensive file manipulation, moderate max_behavioral_sandbox_score (0.076) and exfiltration_behavior_score (0.363), winword.exe execution, 4 embedded files, dns_morphing_detected (1), very high reply_path_reputation_score (0.739), high urgency_keywords_present (0.544) - sophisticated document-based attack"
D6050,Warning,0.78,"Mixed signals requiring investigation: No explicit request type (none), DMARC enforced (1) providing baseline security, very high sender_temp_email_likelihood (0.899) indicating disposable email usage, high reply_path_reputation_score (0.366) and smtp infrastructure scores, moderate content_spam_score (0.066) and urgency_keywords_present (0.737) - high-reputation sender with concerning patterns"
D6051,Warning,0.76,"Sensitive data request with minimal threat indicators: sensitive_data_request type targeting confidential information, moderate sender_temp_email_likelihood (0.221) within concerning range, urgency_keywords_present (0.410), minimal threat scores but sensitive nature of request warrants monitoring, good authentication baseline, very low url_reputation_score (1.6e-05) indicating trustworthy infrastructure"
D6052,Warning,0.83,"Meeting request with high behavioral activity: meeting_request type potentially used for social engineering, very high sender_temp_email_likelihood (0.699) indicating disposable email usage, high max_metadata_suspicious_score (0.200) and max_amsi_suspicion_score (0.675), very high exfiltration_behavior_score (0.891), winword.exe execution, 4 total_links_detected, very high urgency_keywords_present (0.771) - sophisticated meeting-based social engineering"
D6053,Warning,0.79,"Communication with high metadata manipulation: No explicit request type (none), very high max_metadata_suspicious_score (0.976) indicating extensive file manipulation, moderate sender_temp_email_likelihood (0.201) and exfiltration_behavior_score (0.382), winword.exe execution, urgency_keywords_present (0.616), moderate content_spam_score (0.068) - file-based threat requiring analysis"
D6054,No Action,0.83,"Legitimate high-reputation communication: No explicit request type (none), high sender_domain_reputation (0.193) confirming trusted source, minimal threat indicators across categories, 2 total_links_detected with very low url_reputation_score (3.2e-07), high site_visual_similarity_to_known_brand (0.361) but in legitimate context, urgency_keywords_present (0.363) likely business urgency, good authentication"
D6055,Malicious,0.93,"Known threat actor with legal intimidation: sender_known_malicious (1) confirming threat actor identification, legal_threat request type using intimidation tactics, moderate max_metadata_suspicious_score (0.072) and very high max_amsi_suspicion_score (0.816), very high exfiltration_behavior_score (0.805), outlook.exe execution, bulk_message_indicator (1), revoked SSL certificate - confirmed malicious legal threat campaign"
D6056,Warning,0.85,"Link click with high infrastructure risk: link_click request type directing users to external sites, high sender_domain_reputation (0.639) and sender_temp_email_likelihood (0.395) suggesting compromised legitimate infrastructure, very high max_metadata_suspicious_score (0.779) indicating extensive file manipulation, acrobat.exe execution, 4 total_links_detected, very high urgency_keywords_present (0.756), url_decoded_spoof_detected (1)"
D6057,Warning,0.77,"Bank detail update with minimal threats: bank_detail_update request type commonly used in financial fraud, minimal threat indicators but financial nature warrants caution, urgency_keywords_present (0.365), moderate smtp infrastructure scores, good authentication (SPF fail, DKIM policy, DMARC pass) but financial request type requires monitoring despite low threat scores"
D6058,Warning,0.82,"VPN/MFA reset with suspicious patterns: vpn_or_mfa_reset request type targeting security credentials, has_executable_attachment (1) providing code execution vector, high max_metadata_suspicious_score (0.145) and exfiltration_behavior_score (0.561), winword.exe and powershell.exe execution, high sender_temp_email_likelihood (0.265), 4 total_links_detected, self-signed SSL certificate, very high urgency_keywords_present (0.758)"
D6059,Malicious,0.92,"Wire transfer fraud with evasion tactics: wire_transfer request type indicating financial fraud, unscannable_attachment_present (1) evading analysis, high max_metadata_suspicious_score (0.225), winword.exe execution, high smtp_ip_asn (0.580) and smtp_ip_reputation_score (0.873) indicating bulk infrastructure, url_shortener_detected (1), final_url_known_malicious (1) confirming malicious endpoint, SSL certificate mismatch - sophisticated evasion"
D6060,Malicious,0.93,"Document download with confirmed malicious infrastructure: document_download request type, high max_metadata_suspicious_score (0.593) indicating file manipulation, winword.exe execution, reply_path_known_malicious (1) confirming malicious email routing, embedded file (1), final_url_known_malicious (1) confirming malicious destination, 4 total_links_detected, very high urgency_keywords_present (0.977) - confirmed malicious document-based attack"
D6061,No Action,0.82,"Low-risk legitimate communication with security features: No explicit request type (none), DMARC enforced (1) providing strong baseline security, minimal threat indicators across all 68 signals, expired SSL certificate noted but contradicted by strong authentication posture and very low threat scores, urgency_keywords_present (0.159) within normal business range"
D6062,Warning,0.76,"Sensitive data request with infrastructure concerns: sensitive_data_request type targeting confidential information, urgency_keywords_present (0.377), moderate smtp infrastructure risk scores, good authentication baseline but sensitive nature of request combined with infrastructure variations warrants monitoring, very low threat indicators but data targeting requires caution"
D6063,Warning,0.79,"Meeting request with behavioral concerns: meeting_request type potentially used for social engineering, moderate sender_temp_email_likelihood (0.084) and max_amsi_suspicion_score (0.537), high exfiltration_behavior_score (0.438), winword.exe execution, 4 embedded files, expired SSL certificate, urgency_keywords_present (0.414) - meeting-based social engineering requiring investigation"
D6064,Warning,0.80,"Communication with high metadata manipulation and spoofing: No explicit request type (none), high max_metadata_suspicious_score (0.302) indicating file manipulation, very high exfiltration_behavior_score (0.929) showing significant data access potential, winword.exe execution, very high smtp_ip_geo (0.826) risk score, domain_tech_stack_match_score (0.5), very high site_visual_similarity_to_known_brand (0.834) and urgency_keywords_present (0.880)"
D6065,No Action,0.81,"Low-risk communication with routing variations: No explicit request type (none), return_path_mismatch_with_from (1) for email routing, minimal threat indicators across categories, urgency_keywords_present (0.423) within normal business range, moderate smtp infrastructure scores but no supporting threat indicators, good authentication baseline - standard business communication"
D6066,Warning,0.78,"Legal threat with script-based content: legal_threat request type using intimidation tactics, any_vbscript_javascript_detected (1) indicating script-based content for potential code execution, high max_amsi_suspicion_score (0.268) and very high exfiltration_behavior_score (0.998), outlook.exe execution, urgency_keywords_present (0.094), expired SSL certificate - script-based legal threat"
D6067,Warning,0.83,"Link click with high URL reputation concerns: link_click request type directing users to external sites, moderate max_behavioral_sandbox_score (0.041) and very high exfiltration_behavior_score (0.734), acrobat.exe execution, high reply_path_reputation_score (0.265), very high url_reputation_score (0.889) indicating suspicious links, urgency_keywords_present (0.744), link_rewritten_through_redirector (1) - sophisticated link-based attack"
D6068,Warning,0.75,"Bank detail update with minimal direct threats: bank_detail_update request type commonly used in financial fraud, url_shortener_detected (1) for link obfuscation, urgency_keywords_present (0.157), moderate smtp infrastructure concerns, good authentication but financial request type with URL manipulation warrants monitoring despite low direct threat indicators"
D6069,Malicious,0.88,"VPN/MFA reset with sender spoofing: vpn_or_mfa_reset request type targeting security credentials, sender_spoof_detected (1) confirming identity spoofing, very high sender_temp_email_likelihood (0.887) indicating disposable email usage, high max_metadata_suspicious_score (0.261) and very high exfiltration_behavior_score (0.941), winword.exe and powershell.exe execution, dns_morphing_detected (1), domain_tech_stack_match_score (1.0)"
D6070,Malicious,0.91,"Wire transfer fraud with ActiveX exploitation: wire_transfer request type indicating financial fraud, any_active_x_objects_detected (1) providing deprecated but dangerous code execution vector, high max_behavioral_sandbox_score (0.594) and exfiltration_behavior_score (0.422), winword.exe execution, reply_path_known_malicious (1), high smtp_ip_asn (0.876) indicating malicious infrastructure, url_redirect_chain_length (1), reverse_dns_valid (0) indicating infrastructure anomaly"
D6071,Warning,0.82,"Document download with high behavioral activity: document_download request type, very high sender_temp_email_likelihood (0.704) indicating disposable email usage, high max_metadata_suspicious_score (0.229) and max_behavioral_sandbox_score (0.441), very high exfiltration_behavior_score (0.723), winword.exe execution, embedded file (1), high smtp_ip_reputation_score (0.430) and content_spam_score (0.552)"
D6072,No Action,0.80,"Legitimate communication with infrastructure variations: No explicit request type (none), minimal threat indicators across 68 signals, moderate smtp infrastructure scores, revoked SSL certificate noted but no supporting threat indicators, urgency_keywords_present (0.356) within business range, reverse_dns_valid (0) noted but overall benign profile suggests legitimate communication"
D6073,Warning,0.76,"Sensitive data request with infrastructure concerns: sensitive_data_request type targeting confidential information, high smtp_ip_geo (0.509) risk score indicating concerning infrastructure, urgency_keywords_present (0.905) creating high pressure, minimal direct threat indicators but sensitive data targeting with infrastructure anomalies warrants monitoring"
D6074,Warning,0.81,"Meeting request with suspicious patterns: meeting_request type potentially used for social engineering, 3 YARA rule matches indicating known suspicious patterns, any_exploit_pattern_detected (1), high exfiltration_behavior_score (0.716), winword.exe execution, high return_path_reputation_score (0.221) and smtp infrastructure concerns, expired SSL certificate, urgency_keywords_present (0.158)"
D6075,Warning,0.80,"Communication with high behavioral and infrastructure risk: No explicit request type (none), high max_behavioral_sandbox_score (0.349) and very high exfiltration_behavior_score (0.858), winword.exe execution, very high smtp_ip_geo (0.458) and smtp_ip_asn (0.907) risk scores indicating malicious infrastructure, high url_reputation_score (0.534), self-signed SSL certificate - sophisticated evasion requiring investigation"
D6076,No Action,0.82,"Low-risk legitimate communication: No explicit request type (none), minimal threat indicators across all categories, moderate sender_temp_email_likelihood (0.051) within acceptable range, domain_tech_stack_match_score (1.0) noted but no supporting threats, very high urgency_keywords_present (0.972) likely business urgency, good authentication baseline - standard business communication"
D6077,Warning,0.77,"Legal threat with infrastructure concerns: legal_threat request type using intimidation tactics, moderate max_metadata_suspicious_score (0.070) and very high exfiltration_behavior_score (0.798), outlook.exe execution with long sandbox time (61.09 seconds) indicating potential evasion, domain_tech_stack_match_score (1.0), urgency_keywords_present (0.046) - legal intimidation requiring investigation"
D6078,Malicious,0.89,"Link click with confirmed sender spoofing: link_click request type directing users to external sites, sender_spoof_detected (1) confirming identity spoofing, high max_metadata_suspicious_score (0.119) and max_behavioral_sandbox_score (0.283), high exfiltration_behavior_score (0.388), acrobat.exe execution, domain_tech_stack_match_score (1.0), self-signed SSL certificate, urgency_keywords_present (0.651) - confirmed spoofed identity attack"
D6079,Malicious,0.89,"Bank detail fraud with sender spoofing: bank_detail_update request type commonly used in financial fraud, sender_spoof_detected (1) confirming identity spoofing, 2 total_links_detected, moderate content_spam_score (0.031), expired SSL certificate, high url_rendering_behavior_score (0.695) indicating suspicious web behavior - confirmed spoofed financial fraud"
D6080,Warning,0.82,"VPN/MFA reset with high spam characteristics: vpn_or_mfa_reset request type targeting security credentials, high max_metadata_suspicious_score (0.076) and very high exfiltration_behavior_score (0.769), winword.exe and powershell.exe execution, high content_spam_score (0.319) indicating bulk nature, very high urgency_keywords_present (0.726) - credential harvesting with spam characteristics"
D6081,Malicious,0.92,"Wire transfer fraud with script-based threats: wire_transfer request type indicating financial fraud, any_vbscript_javascript_detected (1) providing script-based code execution, high sender_domain_reputation (0.590) suggesting compromised legitimate infrastructure, high max_behavioral_sandbox_score (0.332) and very high exfiltration_behavior_score (0.842), winword.exe execution, 4 total_links_detected, very high smtp_ip_asn (0.876), urgency_keywords_present (0.539)"
D6082,Warning,0.85,"Document download with high behavioral activity: document_download request type, high max_behavioral_sandbox_score (0.631) and exfiltration_behavior_score (0.381) showing confirmed malicious runtime behavior and data access potential, winword.exe execution, embedded files (2), high url_reputation_score (0.165) and urgency_keywords_present (0.886), authentication failures - sophisticated document-based attack requiring investigation"
