Data ID,Classification,Confidence Score,Detailed Justification
D3943,Malicious,0.87,Email exhibits serious security threat with very high sender malicious score (0.88), high metadata suspicious score (0.43), and behavioral sandbox detection (0.37). Very high AMSI suspicion score (0.92) with macro detection indicate active malware requiring immediate blocking.
D3944,Malicious,0.89,Email presents critical security threat with very high sender malicious score (0.82) and YARA rule detections (4). High behavioral sandbox score (0.40) with very high exfiltration behavior (0.89) indicate sophisticated malware campaign requiring immediate containment.
D3945,Warning,0.74,Email shows concerning wire transfer request with very high macro detection (0.85) and high visual similarity to known brand (0.92). Authentication failures (SPF/DKIM fail, DMARC fail) require verification through secure channels before proceeding.
D3946,Warning,0.67,Email presents moderate security concerns with high macro detection (0.58) and urgency patterns. Good authentication (SPF pass, DKIM none, DMARC none) but elevated behavioral patterns require user verification before opening attachments.
D3947,Malicious,0.81,Email exhibits serious security threat with expired SSL certificate and 5 malicious components detected. Confirmed malicious components indicate active malware requiring immediate blocking.
D3948,Malicious,0.83,Email exhibits serious security threat with very high VBScript detection (0.87) and 5 malicious components detected. Confirmed malicious components with script-based threats indicate active malware requiring immediate blocking.
D3949,Malicious,0.89,Email exhibits critical security threat with very high sender malicious score (0.90), gift card request pattern, and high temp email likelihood (0.60). High macro detection (0.86) with 5 malicious components indicate sophisticated business email compromise requiring immediate blocking.
D3950,Malicious,0.81,Email exhibits serious security threat with sender spoofing detection, malicious file hash, and wire transfer request pattern. High exfiltration behavior (0.77) with AMSI detection (0.30) indicate active financial fraud campaign requiring immediate blocking.
D3951,Malicious,0.88,Email presents critical security threat with very high sender malicious score (0.81), document download request, and very high exfiltration behavior (0.93). Reply path known malicious with 4 malicious components indicate sophisticated malware delivery requiring immediate blocking.
D3952,Warning,0.71,Email shows elevated security concerns with high sender malicious score (0.68) and sensitive data request pattern. Self-signed SSL certificate with macro detection (0.89) require user verification through secure channels before providing sensitive information.
D3953,Malicious,0.79,Email exhibits serious security threat with sensitive data request, self-signed SSL certificate, and 1 malicious component detected. Confirmed malicious component indicates data harvesting campaign requiring immediate blocking.
D3954,Malicious,0.83,Email exhibits serious security threat with very high sender malicious score (0.75), meeting request pattern, and reply path known malicious. High metadata suspicious score (0.28) with high AMSI suspicion score (0.87) indicate business email compromise requiring blocking.
D3955,Malicious,0.82,Email exhibits serious security threat with high sender malicious score (0.64) and YARA rule detections (6). High VBScript detection (0.75) with embedded files indicate confirmed malware requiring immediate blocking.
D3956,Warning,0.69,Email shows concerning characteristics with high temp email likelihood (0.79) and SSL certificate mismatch. High VBScript detection (0.74) with authentication failures (SPF/DKIM fail, DMARC temperror) require user verification.
D3957,Warning,0.68,Email presents moderate security concerns with legal threat request pattern and high AMSI suspicion score (0.78). Authentication failures (SPF/DKIM fail, DMARC none) and self-signed SSL certificate require verification through official channels.
D3958,Warning,0.75,Email shows elevated security risks with very high metadata suspicious score (0.89) and link click request pattern. High macro detection (0.90) with authentication failures (SPF fail, DKIM policy, DMARC pass) require user verification before link interaction.
D3959,Malicious,0.87,Email exhibits critical security threat with very high sender malicious score (0.91), bank detail update request, and domain known malicious. High macro detection (0.88) with SSL certificate mismatch indicate sophisticated financial fraud requiring immediate blocking.
D3960,Malicious,0.81,Email exhibits serious security threat with high sender malicious score (0.60), VPN/MFA reset request, and very high temp email likelihood (0.97). High behavioral sandbox score with 5 malicious components indicate credential harvesting malware requiring immediate blocking.
D3961,Malicious,0.84,Email exhibits serious security threat with very high sender malicious score (0.89) and high macro detection (0.76). High reply path reputation issues with authentication failures indicate business email compromise requiring immediate blocking.
D3962,Malicious,0.84,Email exhibits serious security threat with legal threat request, very high metadata suspicious score (0.99), and 5 malicious components detected. Confirmed malicious components indicate sophisticated social engineering attack requiring immediate blocking.
D3963,Malicious,0.79,Email exhibits serious security threat with very high sender malicious score (0.75), link click request, and very high exfiltration behavior (0.97). High behavioral sandbox score (0.47) with 5 malicious components indicate active data theft malware requiring immediate blocking.
D3964,Spam,0.78,Email exhibits spam characteristics with bank detail update request, high content spam score (0.87), and unsubscribe link present. Good authentication cannot overcome bulk message indicators suggesting commercial spam requiring filtering.
D3965,Malicious,0.81,Email exhibits serious security threat with VPN/MFA reset request and IOC detections (2). High exfiltration behavior (0.62) with confirmed IOC matches indicate active credential harvesting malware requiring immediate blocking.
D3966,Malicious,0.83,Email exhibits serious security threat with bank detail update request, reply path known malicious, and 4 malicious components detected. Confirmed malicious components indicate sophisticated financial fraud requiring immediate blocking.
D3967,Malicious,0.85,Email exhibits serious security threat with very high sender malicious score (0.79), VPN/MFA reset request, and very high exfiltration behavior (0.95). High reply path reputation issues with 1 malicious component indicate credential harvesting campaign requiring immediate blocking.
D3968,Warning,0.71,Email shows moderate security concerns with very high metadata suspicious score (0.69) and high macro detection (0.87). Good authentication (SPF pass, DKIM policy, DMARC none) but elevated behavioral patterns require user verification.
D3969,Warning,0.72,Email presents moderate security concerns with very high macro detection (0.96) and high exfiltration behavior (0.85). Good authentication (SPF pass, DKIM fail, DMARC temperror) but elevated urgency patterns require user verification.
D3970,Malicious,0.77,Email exhibits serious security threat with legal threat request, reply path known malicious, and high return path reputation issues (0.73). High urgency patterns with 4 malicious components indicate social engineering attack requiring immediate blocking.
D3971,Malicious,0.79,Email exhibits serious security threat with DMARC enforcement, self-signed SSL certificate, and 2 malicious components detected. Confirmed malicious components indicate active malware requiring immediate blocking.
D3972,Warning,0.63,Email presents moderate security concerns with DMARC enforcement and very high return path reputation issues (0.99). Good authentication (SPF softfail, DKIM policy, DMARC pass) but elevated macro detection (0.26) require user verification.
D3973,Warning,0.69,Email shows moderate security concerns with invoice verification request and return path mismatch. Good authentication (SPF pass, DKIM policy, DMARC fail) but expired SSL certificate and high macro detection (0.67) require verification through secure channels.
D3974,Malicious,0.83,Email exhibits serious security threat with very high macro detection (0.94), reply path known malicious, and 2 malicious components detected. Confirmed malicious components indicate active macro-based malware requiring immediate blocking.
D3975,Spam,0.79,Email exhibits spam characteristics with very high sender malicious score (0.94), user marked as spam before, and expired SSL certificate. Despite high threat indicators, user spam marking suggests bulk malicious spam requiring filtering.
D3976,Malicious,0.86,Email exhibits serious security threat with very high sender malicious score (0.85), DMARC enforcement, and YARA rule detections (3). High metadata suspicious score (0.35) with exfiltration behavior indicate active malware requiring immediate blocking.
D3977,Warning,0.71,Email presents moderate security concerns with high sender malicious score (0.72) and sensitive data request pattern. Good authentication (SPF pass, DKIM none, DMARC pass) but elevated behavioral patterns require verification through secure channels.
D3978,Malicious,0.79,Email exhibits serious security threat with IOC detections (2), AMSI suspicion score (0.33), and URL redirection (2 hops). Confirmed IOC matches indicate active malware requiring immediate blocking.
D3979,Spam,0.72,Email exhibits spam characteristics with high macro detection (0.88), unsubscribe link present, and URL redirection (2 hops). Good authentication but bulk message patterns suggest marketing spam requiring filtering.
D3980,Spam,0.74,Email exhibits spam characteristics with high sender malicious score (0.68), high domain reputation score (0.92), and unsubscribe link present. Bulk message indicators and marketing patterns suggest commercial spam requiring filtering.
D3981,Malicious,0.81,Email exhibits serious security threat with malicious file hash detection and high return path reputation issues (0.82). Confirmed malicious file hash indicates known malware requiring immediate blocking.
D3982,Malicious,0.79,Email exhibits serious security threat with malicious file hash detection and very high VBScript detection (0.89). Despite low sender malicious score (0.03), confirmed malicious file hash indicates known malware requiring immediate blocking.
