Data,Classification,Confidence_Score,Detailed_Justification
D6161,Warning,0.74,"Sensitive data request with minimal threats: sensitive_data_request type targeting confidential information, domain_tech_stack_match_score (1.0), moderate smtp infrastructure scores, authentication failures but sensitive data targeting warrants monitoring despite low direct threat indicators"
D6162,Warning,0.82,"Meeting request with metadata manipulation: meeting_request type potentially used for social engineering, high max_metadata_suspicious_score (0.248) and very high exfiltration_behavior_score (0.816), winword.exe execution, high return_path_reputation_score (0.489), authentication failures - meeting-based social engineering with file manipulation"
D6163,Warning,0.85,"Communication with ActiveX and network activity: No explicit request type (none), any_active_x_objects_detected (1) and any_network_call_on_open (1) providing code execution and network connectivity, very high exfiltration_behavior_score (0.821) showing data access potential, winword.exe execution, very high urgency_keywords_present (0.922), authentication failures - sophisticated threat requiring investigation"
D6164,Spam,0.79,"High spam content with SSL evasion: No explicit request type (none), very high content_spam_score (0.755) indicating bulk nature, high smtp_ip_geo (0.182) risk score, self-signed SSL certificate, authentication failures - bulk spam campaign with SSL evasion"
D6165,Warning,0.81,"Legal threat with high behavioral activity: legal_threat request type using intimidation tactics, very high sender_temp_email_likelihood (0.621) indicating disposable email usage, high max_behavioral_sandbox_score (0.203) and exfiltration_behavior_score (0.607), outlook.exe execution, high content_spam_score (0.396), domain_tech_stack_match_score (1.0) - sophisticated legal threat requiring investigation"
D6166,Warning,0.76,"Link click with infrastructure concerns: link_click request type directing users to external sites, moderate max_behavioral_sandbox_score (0.085) and exfiltration_behavior_score (0.109), acrobat.exe execution, very high smtp_ip_geo (0.693) risk score, 4 total_links_detected, SSL certificate mismatch, very high urgency_keywords_present (0.884) - link-based attack with infrastructure anomalies"
D6167,Warning,0.80,"Bank detail update with high infrastructure risk: bank_detail_update request type commonly used in financial fraud, very high smtp_ip_geo (0.692) risk score, 4 total_links_detected, very high urgency_keywords_present (0.884), good authentication but infrastructure concerns warrant monitoring"
D6168,Warning,0.86,"VPN/MFA reset with infrastructure compromise: vpn_or_mfa_reset request type targeting security credentials, very high exfiltration_behavior_score (0.828), winword.exe and powershell.exe execution, very high smtp_ip_geo (0.884) risk score, unsubscribe_link (1), domain_tech_stack_match_score (1.0), authentication failures - credential harvesting with compromised infrastructure"
D6169,Warning,0.76,"Wire transfer with YARA matches: wire_transfer request type indicating financial fraud, 2 YARA rule matches indicating known suspicious patterns, moderate max_behavioral_sandbox_score (0.064) and exfiltration_behavior_score (0.176), winword.exe execution, very high smtp_ip_geo (0.495), 3 total_links_detected - financial fraud requiring investigation"
D6170,Warning,0.88,"Document download with high behavioral activity: document_download request type, high max_metadata_suspicious_score (0.404) indicating file manipulation, moderate max_behavioral_sandbox_score (0.140) and very high max_amsi_suspicion_score (0.731), very high exfiltration_behavior_score (0.744) showing extensive data access, winword.exe execution, embedded files (2), very high urgency_keywords_present (0.896) - sophisticated document-based attack"
D6171,No Action,0.78,"Communication with infrastructure variations: No explicit request type (none), return_path_known_malicious (1) noted but minimal threat indicators across other categories, expired SSL certificate, high urgency_keywords_present (0.768) likely business urgency, authentication failures but overall benign behavioral profile"
D6172,Warning,0.77,"Sensitive data request with mixed authentication: sensitive_data_request type targeting confidential information, high urgency_keywords_present (0.400), high smtp_ip_geo (0.348) risk score, good authentication (SPF pass, DKIM pass, DMARC pass) but sensitive data targeting and infrastructure variations warrant monitoring"
D6173,Warning,0.86,"Meeting request with high metadata manipulation: meeting_request type potentially used for social engineering, high max_metadata_suspicious_score (0.455) indicating file manipulation, very high exfiltration_behavior_score (0.911), winword.exe execution, return_path_known_malicious (1), very high smtp_ip_geo (0.802) and urgency_keywords_present (0.861) - sophisticated meeting-based social engineering"
D6174,Warning,0.83,"Communication with script content and infrastructure concerns: No explicit request type (none), any_vbscript_javascript_detected (1) providing script-based code execution, high max_metadata_suspicious_score (0.511) and very high exfiltration_behavior_score (0.797), winword.exe execution, reply_path_known_malicious (1), very high smtp_ip_geo (0.617), high content_spam_score (0.258) - script-based threat requiring investigation"
D6175,No Action,0.80,"Low-risk legitimate communication: No explicit request type (none), minimal threat indicators across all 68 signals, moderate sender_temp_email_likelihood (0.106) and urgency_keywords_present (0.748) within normal ranges, good authentication (SPF pass), overall benign profile suggests standard business communication"
D6176,Warning,0.81,"Legal threat with executable attachment: legal_threat request type using intimidation tactics, has_executable_attachment (1) providing code execution vector, 2 YARA rule matches, moderate max_behavioral_sandbox_score (0.171), outlook.exe execution, unsubscribe_link (1), very high urgency_keywords_present (0.972) - executable-based legal threat requiring investigation"
D6177,Warning,0.89,"Link click with high-reputation sender compromise: link_click request type directing users to external sites, very high sender_domain_reputation (0.843) suggesting compromised legitimate high-value infrastructure, high max_metadata_suspicious_score (0.669) and very high exfiltration_behavior_score (0.824), acrobat.exe execution, any_exploit_pattern_detected (1), embedded files (2), is_high_risk_role_targeted (1), self-signed SSL certificate - sophisticated attack using compromised infrastructure"
D6178,Spam,0.85,"Bank detail spam with high disposable email usage: bank_detail_update request type in spam context, very high sender_temp_email_likelihood (0.880) indicating disposable email usage, high content_spam_score (0.487) indicating bulk nature, domain_tech_stack_match_score (1.0), expired SSL certificate, authentication failures - bulk financial spam campaign"
D6179,Warning,0.78,"VPN/MFA reset with behavioral indicators: vpn_or_mfa_reset request type targeting security credentials, moderate max_amsi_suspicion_score (0.130) and exfiltration_behavior_score (0.205), winword.exe and powershell.exe execution, high smtp_ip_geo (0.281) risk score, authentication failures - credential harvesting requiring investigation"
D6180,Warning,0.74,"Wire transfer with minimal direct threats: wire_transfer request type indicating financial fraud, minimal behavioral scores but financial nature warrants caution, winword.exe execution, high reply_path_reputation_score (0.304), self-signed SSL certificate, good authentication but financial request type requires monitoring"
D6181,Warning,0.80,"Document download with behavioral concerns: document_download request type, moderate max_behavioral_sandbox_score (0.006) and exfiltration_behavior_score (0.379), winword.exe execution, embedded files (4), return_path_known_malicious (1), high smtp_ip_geo (0.285), domain_tech_stack_match_score (1.0) - document-based attack requiring investigation"
D6182,No Action,0.79,"Low-risk communication with sender spoofing noted: No explicit request type (none), sender_spoof_detected (1) noted but minimal threat indicators across other categories, moderate sender_temp_email_likelihood (0.363) within acceptable range, domain_tech_stack_match_score (1.0), good authentication baseline - spoofing contradicted by benign profile"
