Data,Classification,Confidence_Score,Detailed_Justification
D6007,Warning,0.80,"Gift card request with high behavioral scores: gift_card_request type, very high max_behavioral_sandbox_score (0.789) and max_amsi_suspicion_score (0.772), moderate exfiltration_behavior_score (0.471), winword.exe and powershell.exe execution, domain_tech_stack_match_score (1.0), very high urgency_keywords_present (0.319) - sophisticated social engineering requiring investigation"
D6008,Warning,0.82,"Malicious attachments with infrastructure concerns: 3 malicious_attachment_count, unscannable_attachment_present (1), DMARC enforced (1), moderate max_amsi_suspicion_score (0.432) and exfiltration_behavior_score (0.443), acrobat.exe, cmd.exe, curl.exe, rundll32.exe execution, domain_known_malicious (1), very high urgency_keywords_present (0.826)"
D6009,Spam,0.78,"Urgent callback spam campaign: urgent_callback request type in spam context, SSL certificate mismatch, very high urgency_keywords_present (0.739), url_rendering_behavior_score (0.282), moderate smtp infrastructure scores, good authentication but bulk/spam characteristics predominant"
D6010,Spam,0.79,"Bulk email with multiple redirects: moderate max_behavioral_sandbox_score (0.020), sender_temp_email_likelihood (0.173), url_redirect_chain_length (4) indicating evasion typical of spam, high smtp_ip_reputation_score (0.630), domain_tech_stack_match_score (1.0), high content_spam_score (0.752), authentication failures - clear spam campaign"
D6011,Warning,0.79,"Link click with compromised infrastructure: link_click request type, very high return_path_reputation_score (0.768) and smtp_ip_geo (0.843), sender_temp_email_likelihood (0.121), 3 total_links_detected, self-signed SSL certificate, domain_tech_stack_match_score (1.0), authentication failures, token_validation_success (0) - infrastructure compromise requiring investigation"
D6012,Warning,0.81,"High behavioral activity with system access: very high max_behavioral_sandbox_score (0.924), moderate exfiltration_behavior_score (0.221), excel.exe, cmd.exe, powershell.exe execution, high urgency_keywords_present (0.633), image_only_email (1), moderate smtp infrastructure concerns - suspicious system-level activity"
D6013,Malicious,0.88,"Wire transfer fraud with compromised infrastructure: wire_transfer request type, high sender_domain_reputation (0.393) suggesting compromised legitimate infrastructure, moderate max_behavioral_sandbox_score (0.021), very high exfiltration_behavior_score (0.825), high max_amsi_suspicion_score (0.267), winword.exe execution, very high url_reputation_score (0.378) and urgency_keywords_present (0.651)"
D6014,Warning,0.77,"Wire transfer with malicious routing: wire_transfer request type, reply_path_known_malicious (1), domain_tech_stack_match_score (1.0), moderate content_spam_score (0.078) and urgency_keywords_present (0.314), high url_rendering_behavior_score (0.589), good authentication but malicious email routing"
D6015,Malicious,0.90,"Social engineering gift card fraud: gift_card_request type with malicious characteristics, high max_metadata_suspicious_score (0.400), very high exfiltration_behavior_score (0.882), winword.exe, powershell.exe, regsvr32.exe execution, 3 embedded files, unsubscribe_link (1) for legitimacy, url_shortener_detected (1), very high site_visual_similarity_to_known_brand (0.821), self-signed SSL certificate"
D6016,Warning,0.74,"Script-based content with metadata manipulation: any_vbscript_javascript_detected (1), high max_metadata_suspicious_score (0.142), moderate exfiltration_behavior_score (0.100), excel.exe execution, very high urgency_keywords_present (0.933), moderate smtp infrastructure concerns - script-based threat requiring analysis"
D6017,Warning,0.76,"High infrastructure risk with data access potential: moderate sender_temp_email_likelihood (0.286), very high exfiltration_behavior_score (0.760), winword.exe and powershell.exe execution, very high smtp_ip_geo (0.729) risk, high urgency_keywords_present (0.373), authentication failures - infrastructure compromise"
D6018,Spam,0.78,"Invoice verification spam: invoice_verification request type commonly used in spam, high sender_temp_email_likelihood (0.370), high smtp_ip_geo (0.520) indicating bulk infrastructure, domain_tech_stack_match_score (1.0), moderate url_reputation_score (0.080), authentication failures - bulk invoice-themed spam"
D6019,Warning,0.79,"Extensive file manipulation with evasion: very high max_metadata_suspicious_score (0.799), moderate max_behavioral_sandbox_score (0.072), winword.exe and powershell.exe execution, html_text_ratio (1.0), very high url_reputation_score (0.885) and url_rendering_behavior_score (0.300), self-signed SSL certificate - sophisticated evasion techniques"
D6020,Warning,0.77,"Script-based threat with behavioral indicators: any_vbscript_javascript_detected (1), high max_metadata_suspicious_score (0.516), very high exfiltration_behavior_score (0.612), winword.exe, powershell.exe, regsvr32.exe execution, embedded file (1), link_rewritten_through_redirector (1), high content_spam_score (0.774)"
D6021,Spam,0.80,"Wire transfer spam with legitimate infrastructure: wire_transfer request type in spam context, DMARC enforced (1), moderate sender_temp_email_likelihood (0.072), domain_tech_stack_match_score (1.0), high content_spam_score (0.510) indicating bulk nature, good authentication but spam characteristics predominant"
D6022,No Action,0.82,"Legitimate business communication: minimal threat indicators across 68 signals, moderate smtp infrastructure scores within normal ranges, domain_tech_stack_match_score (1.0) with no supporting threats, very low url_reputation_score (5.7e-05), moderate site_visual_similarity_to_known_brand (0.677) but benign context"
D6023,No Action,0.84,"Low-risk standard email: minimal threat indicators, 4 total_links_detected with extremely low url_reputation_score (2.8e-11), moderate site_visual_similarity_to_known_brand (0.676) within normal range, very low content_spam_score (2.6e-05), authentication failures noted but overall legitimate profile"
D6024,No Action,0.85,"Legitimate email with strong security: DMARC enforced (1), return_path_mismatch_with_from (1) for routing, minimal threat indicators, very high smtp_ip_geo (0.949) and smtp_ip_asn (0.949) risk scores contradicted by strong security posture and minimal threats, high url_reputation_score (0.621) but benign context"
D6025,Spam,0.83,"Gift card marketing spam: gift_card_request type, sender_temp_email_likelihood (0.117), high content_spam_score (0.293), html_text_ratio (1.0) for content hiding, site_visual_similarity_to_known_brand (0.113), very high urgency_keywords_present (0.829) for promotional pressure, good authentication - legitimate sender doing gift card marketing spam"
D6026,Warning,0.78,"Wire transfer with infrastructure concerns: wire_transfer request type, domain_tech_stack_match_score (1.0), moderate exfiltration_behavior_score (0.172), winword.exe execution, high urgency_keywords_present (0.187), self-signed SSL certificate, good authentication but spoofing and financial request warrant investigation"
D6027,Warning,0.80,"Document delivery with behavioral threats: document_download request type, high max_behavioral_sandbox_score (0.485), moderate exfiltration_behavior_score (0.268), winword.exe execution, url_shortener_detected (1), high site_visual_similarity_to_known_brand (0.313), link_rewritten_through_redirector (1), expired SSL certificate - sophisticated delivery mechanism"
D6028,No Action,0.81,"Legitimate business email: minimal threat indicators across all 68 signals, very low content_spam_score (4.7e-23), moderate smtp infrastructure scores, self-signed SSL certificate noted but no supporting threats, very high urgency_keywords_present (0.834) likely business urgency"
D6029,Spam,0.82,"Sensitive data phishing spam: sensitive_data_request type commonly used in spam, high sender_domain_reputation (0.601) suggesting compromised legitimate sender, high content_spam_score (0.486), unsubscribe_link (1), 4 total_links_detected, very high urgency_keywords_present (0.745), url_rendering_behavior_score (0.328), authentication failures - bulk phishing spam"
D6030,Warning,0.77,"Meeting request with suspicious patterns: meeting_request type, moderate max_metadata_suspicious_score (0.062) and exfiltration_behavior_score (0.315), 3 YARA rule matches, winword.exe execution, high smtp infrastructure risks, very high urgency_keywords_present (0.450), embedded file (1) - social engineering requiring investigation"
D6031,Spam,0.81,"Bulk email with domain spoofing: very high max_metadata_suspicious_score (0.776), moderate exfiltration_behavior_score (0.262), winword.exe execution, dns_morphing_detected (1), very high reply_path_reputation_score (0.937) indicating bulk infrastructure, high content_spam_score (0.656), self-signed SSL certificate, unsubscribe_link (1) - sophisticated spam campaign"
D6032,Spam,0.80,"High-risk infrastructure spam: moderate sender_temp_email_likelihood (0.252), very high smtp_ip_asn (0.379) indicating bulk infrastructure, high url_reputation_score (0.517), very high url_rendering_behavior_score (0.945), self-signed SSL certificate, link_rewritten_through_redirector (1), authentication failures - spam from suspicious infrastructure"
